Home Builders Supply Inc.,63 W. Amelia Ave.,1961,"28.54986897571921, -81.38061166296482"
Lawrence Supply Co. (plumbing supplies),70 W. Amelia Ave.,1961,"28.549261399999644, -81.38031969180003"
Wilbur J. Hamilton (car dealer),101 W. Amelia Ave.,1961,"28.549460745572276, -81.3808309764592"
Ace Office Equipment Inc.,106 W. Amelia Ave.,1961,"28.54927962427724, -81.38113999364649"
Mrs. Bess E. Ogborn (dressmaker),428 W. Amelia Ave.,1961,"28.54926539999923, -81.38469326296484"
Friendship Theta RHO Club No 7,501 W. Amelia Ave.,1961,"28.549656048455944, -81.38563514947047"
Eolo Junior Lodge No. 2,501 W. Amelia Ave.,1961,"28.549656048455944, -81.38563514947047"
Lucerne Rebekah No. 2,501 W. Amelia Ave.,1961,"28.549656048455944, -81.38563514947047"
Seminole Encampment No. 13,501 W. Amelia Ave.,1961,"28.549656048455944, -81.38563514947047"
Harris Apartments,711 W. Amelia Ave.,1961,"28.549644475719454, -81.3896505341296"
Dixie Motor Supply Co Inc,742 W. Amelia Ave.,1961,"28.549097148606325, -81.39109379180005"
Orange Buick Co.,909 W. Amelia Ave.,1961,"28.549848072634344, -81.39268212063523"
Sterchi's Annex,918 W. Amelia Ave.,1961,"28.549045575719703, -81.39182406296483"
Wallace Neon Manufacturing Co. Inc.,920 W. Amelia,1961,"28.54912957289186, -81.39214593412963"
Pan-American Window Corp.,924 W. Amelia Ave.,1961,"28.549210800004243, -81.39239746296478"
Rose's Gardens (flowers),935 W. Amelia Ave.,1961,"28.55002639993071, -81.39293093412958"
Howard Needles Tammen & Bergendoff (engineers),1036 W. Amelia Ave.,1961,"28.54902117571621, -81.3945828322296"
Seaboard Air Line Railraod Co.,1043 W. Amelia Ave.,1961,"28.5498834319365, -81.39501227236222"
American Express Field Warehousing Corp.,1214 W. Amelia Ave.,1961,"28.548926897274356, -81.39575280339456"
General Electric Co.,1216 W. Amelia Ave.,1961,"28.548958572949736, -81.39582964756977"
Mrs. Ida M. Clark (dressmaker),719 America,1961,"28.534031885208258, -81.39086845002136"
Orange City Water,802 Atlanta Ave.,1961,"28.529821775726738, -81.38372556106515"
Orlando Concrete Products Inc.,1237 Atlanta Ave.,1961,"28.526998549457687, -81.38286988990025"
Texaco Inc.,1239 Atlanta Ave.,1961,"28.526987549456646, -81.3826786610652"
International Forwarding Co. ,1315 Atlanta Ave.,1961,"28.525927022996743, -81.38251530339515"
Evans Grill,1424 Atlanta Ave.,1961,"28.524108928790636, -81.38333196106531"
Hammock Bros. Roofing Co.,1428 Atlanta Ave.,1961,"28.524087202262066, -81.38353541873532"
Thomas Ready Mixed Concrete Co.,1433 Atlanta Ave.,1961,"28.52470070220657, -81.38263903223029"
Reeves Fences Inc. of Orlando,1600 Atlanta Ave.,1961,"28.523573849153077, -81.38325620339525"
Cruse Lumber Co. Inc.,1605 Atlanta Ave.,1961,"28.523715261704197, -81.38265428990037"
Orlando Paper Co. Inc.,1610 Atlanta Ave.,1961,"28.52316205557703, -81.38349233223032"
Davis Meter & Supply Co. Inc.,1708 Atlanta Ave.,1961,"28.522483875730725, -81.38350606106533"
Custom Cabinet Shop,1800 Atlanta Ave.,1961,"28.521227029307717, -81.38348893223029"
Clayton Construction Co.,1800 Atlanta Ave.,1961,"28.521227029307717, -81.38348893223029"
Mrs. Edna O. Sullivan (furnished rooms),139 Beggs,1961,"28.544222715780403, -81.38362048130696"
Lonnie Brown (furnished room),739 Bentley,1961,"28.54686164291978, -81.39065122978256"
Ertemus T. Brown (Meth. clergyman),912 Bentley Ave.,1961,"28.546579706189437, -81.39276316536505"
Hawkins Grocery,545 Carter,1961,"28.53478482865695, -81.38669041197896"
Mrs. Ollie B. Straughter (furnished rooms),612 Carter,1961,"28.534650514130504, -81.38666895430887"
Leroy E. Richardson (real estate),643 Carter,1961,"28.534862589624225, -81.3881441691833"
Buster's Grill,703 Carter,1961,"28.534862589624908, -81.38913658654648"
Harris Grill,804 Carter,1961,"28.534634421554873, -81.3914609938052"
Brewer's Chicken Shack,901 Carter,1961,"28.53476619028274, -81.39213988728554"
Mrs. Mary J. Fleming (furnished rooms),908 1/2 Carter,1961,"28.534611148427246, -81.392292873654"
TNT Market,921 Carter,1961,"28.5347587387588, -81.39283006056573"
Bracewell's Grocery & Market,1001 Carter,1961,"28.534769053315394, -81.39320666899047"
Mrs. Alice Gary (babysitter),1025 Carter,1961,"28.534762118124306, -81.3940919370134"
Wright's Guest Home,1236 W. Carter,1961,"28.534779779982003, -81.39660902906664"
Public Loan Corp.,104 W. Central Ave.,1961,"28.54197146928134, -81.38113129604538"
Cardinal Photo Supply,128 W. Central Ave.,1961,"28.541955144345277, -81.38134095371551"
Moore's Central Service,300 W. Central Ave.,1961,"28.541898818868944, -81.38315346536506"
Gem Chemical Co.,310 W. Central Ave.,1961,"28.541934643802172, -81.3833323383753"
Orlando Motor Parts Inc.,316 W. Central Ave.,1961,"28.541915193930144, -81.38333120094755"
Corbett Auto Supply Inc.,340 W. Central Ave.,1961,"28.541931506148213, -81.38381909973597"
Universal Motors,400 W. Central Ave.,1961,"28.54178786877886, -81.38408823653006"
GAC Finace Group of Orlando,401 W. Central Ave.,1961,"28.542461471467174, -81.38418493653"
Dotherow Office Supply Co.,417 W. Central Ave.,1961,"28.54201162557841, -81.38439633222981"
Century Motors,420 W. Central Ave.,1961,"28.541808400666973, -81.3845387610649"
Golden Key Gift Shop,433 W. Central Ave.,1961,"28.542320700621026, -81.38470731873487"
Sears Auto Trimming Supplies,437 W. Central Ave.,1961,"28.542330025521185, -81.3847166898999"
Sure Fit Seat Covers,441 W. Central Ave.,1961,"28.542339450420577, -81.3847475187349"
The Smith-Wilson Co. (office supplies and equipment),514 W. Central Ave.,1961,"28.54160440068553, -81.38552618989988"
Bill Champion's Bar & Liquor Store,515 W. Central Ave.,1961,"28.542241125537167, -81.38552166106486"
Curry's Temporary Service,541 W. Central Ave.,1961,"28.54242320061529, -81.3867554629651"
Central Store Equipment,543 W. Central Ave.,1961,"28.542404950830708, -81.38680926296513"
Curry's Bookkeeping Service,544 W. Central Ave.,1961,"28.541599400689428, -81.38667316296515"
Curry's Offset Press,544 W. Central Ave.,1961,"28.541599400689428, -81.38667316296515"
Electric Construction Co. Inc.,600 W. Central Ave.,1961,"28.54189385078531, -81.3871058629651"
Pittsburgh Plate Glass Co.,617 W. Central Ave.,1961,"28.542292850820704, -81.38768953412993"
Orlando Muffler Clinic,618 W. Central Ave.,1961,"28.541722550769986, -81.38784573412995"
Corbin S. West's Seat Covers,624 W. Central Ave.,1961,"28.541760250579895, -81.38804200529472"
Mid Florida Television Corp.,639 W. Central Ave.,1961,"28.54223675081573, -81.38832236296513"
WLOF-Television (Mid Florida Television Corp),639 W. Central Ave.,1961,"28.54223675081573, -81.38832236296513"
Orange Soda Shop,641 W. Central Ave.,1961,"28.542196550812186, -81.38825364947077"
Osceola Equipment Service,643 W. Central Ave.,1961,"28.542234250452406, -81.38827072063553"
Electrical Appliance Repair Center,647 W. Central Ave.,1961,"28.542201387544463, -81.38831568650562"
Douglas E. Root Jr. (car dealer),666 W. Central Ave.,1961,"28.541778825623563, -81.38882473412995"
Scotty's Friendly Corner,701 W. Central Ave.,1961,"28.54227855081938, -81.38927973412991"
International Harvestor Co.,714 W. Central Ave.,1961,"28.54149635074988, -81.38954380529472"
L & M Builders Supplies Inc.,777 W. Central Ave.,1961,"28.542894600572815, -81.39040986296509"
Central Florida Plating Co. (electric),800 W. Central Ave.,1961,"28.541780675723746, -81.39067506296514"
Atlas Masonry Inc.,809 W. Central Ave.,1961,"28.542289900627235, -81.39095846296512"
