Exploria Stadium,655 W. Church St.,2015-2022,"28.540525306461067, -81.3882809297826"
J Henry's Barber Shop,644 W. Church St.,2015-2022,"28.53998909393037, -81.38882845861764"
Magic Mall,2155 W. Colonial Dr.,2015-2022,"28.55481449949602, -81.40933010154919"
CaptainFish Market,2121 W. Colonial Dr.,2015-2022,"28.554373775713312, -81.40899358989957"
#1 Beauty Supply,3109 W. Colonial Dr.,2015-2022,"28.554205004205755, -81.4162254666004"
ZG ADVERTISING &emdash; Where you are in control,2135 W. Colonial Dr.,2015-2022,"28.554016175713542, -81.40775193222946"
Parkwood Plaza,3201 W. Colonial Dr.,2015-2022,"28.554008133354397, -81.41588839906437"
Showtyme Int'l Hair & More,2123 W. Colonial Dr.,2015-2022,"28.55392564730377, -81.4077376033945"
Caribbean One Stop,2117 W. Colonial Dr.,2015-2022,"28.55378187571369, -81.40774333222949"
Ambassador hotel,929 W.Colonial Dr.,2015-2022,"28.553750010421226, -81.39274444690314"
Luxury Hair Import,2111 W. Colonial Dr.,2015-2022,"28.553693171252316, -81.40774048989957"
Squeeky's Car Wash,2605 W. Colonial Dr.,2015-2022,"28.553679783877467, -81.41326777236215"
Amerinational Management Services&comma; Inc.,105 W. Colonial Dr.,2015-2022,"28.553607971282695, -81.38142136106457"
Global AutoHaus,2195 W. Colonial Dr.,2015-2022,"28.553471395238258, -81.40943926106458"
Value Pawn & Jewelry,2355 W. Colonial Dr.,2015-2022,"28.5534529474309, -81.4104418322295"
Hennen Michael W (attorney),425 W. Colonial Dr. #204,2015-2022,"28.553428454458874, -81.38580366469438"
Cash America Pawn,2363 W. Colonial Dr.,2015-2022,"28.5533664996264, -81.41086683222952"
Wings & Hibachi Cajun Seafood,2107 W. Colonial Dr.,2015-2022,"28.55335517571388, -81.40764678989962"
Thermin Cancelo&comma; Realtor,1221 W. Colonial Dr.,2015-2022,"28.553347823104456, -81.39618657277045"
Right at Home,711 W. Colonial Dr.,2015-2022,"28.55334589392848, -81.38931162978254"
McDonald's,3005 W. Colonial Dr.,2015-2022,"28.553342951799934, -81.41507403222954"
Authentic Gyros & Grill,2401 W. Colonial Dr.,2015-2022,"28.553341847460764, -81.4101691033945"
S Keith Turner Law Office (attorney referral service),1337 W. Colonial Dr.,2015-2022,"28.55331869848222, -81.39920168248561"
The Nunez Law Firm,1337 W. Colonial Dr.,2015-2022,"28.55331869848222, -81.39920168248561"
RAW Wheels & Tires,2395 W. Colonial Dr.,2015-2022,"28.553312323549555, -81.41120420339446"
Votum Construction&comma; LLC,1405 W. Colonial Dr.,2015-2022,"28.55331185446145, -81.40016888248563"
Royal Motors of Orlando,2413 W. Colonial Dr.,2015-2022,"28.553297075713854, -81.41169320339445"
Solo Fuego Music Group,513 W. Colonial Dr. #6,2015-2022,"28.553281142502236, -81.38689590027688"
New Life Christian Center of Orlando,1403 W. Colonial Dr.,2015-2022,"28.553276878383105, -81.39973366469441"
Law Office of Jane E. Carey&comma; P.A.,905 W. Colonial Dr.,2015-2022,"28.553275193928627, -81.39190346536496"
Maria Hoyos (therapist),1339 W. Colonial Dr.,2015-2022,"28.553271154462404, -81.39927244690314"
Anderson and Associates&comma; P.A.,1339 W. Colonial Dr.,2015-2022,"28.553271154462404, -81.39927244690314"
American Protection Services and Investigations,401 W. Colonial Dr. #5,2015-2022,"28.55327079848218, -81.38518998248561"
Vazquez & Poudat&comma; PLLC,401 W. Colonial Dr. #7,2015-2022,"28.55327079848218, -81.38518998248561"
Ron's Miniature Shop&comma; Inc.,751 W. Colonial Dr.,2015-2022,"28.553262405889416, -81.39077709420005"
Lifted Smoke Shop West Colonial,1115 W. Colonial Dr.,2015-2022,"28.553258410443217, -81.39497744690314"
Brahma Kumaris Meditation Center,1801 W. Colonial Dr.,2015-2022,"28.55325437571396, -81.4033042745594"
Marsha Maile (social worker),1703 W. Colonial Dr.,2015-2022,"28.553253883833978, -81.40288260119722"
Compass Pointe Funeral Services,737 W. Colonial Dr.,2015-2022,"28.553252481967455, -81.39040662978255"
Luxurii Enterprises LLC,1017 W. Colonial Dr.,2015-2022,"28.553252386521045, -81.39415254690317"
7-Eleven,605 W. Colonial Dr.,2015-2022,"28.553250742501593, -81.38784606469439"
Bushman #1 Art Gallery & Event Center,1025 W. Colonial Dr. #1023,2015-2022,"28.55324627838654, -81.39452162911189"
G Charles Wohlust Law Office,445 W. Colonial Dr.,2015-2022,"28.553244454462956, -81.38612658248564"
Hanson Michael A (attorney),617 W. Colonial Dr.,2015-2022,"28.553232654463283, -81.38855198248561"
The Ticket Clinic - A Law Firm,1333 W. Colonial Dr.,2015-2022,"28.553231186520097, -81.39876130027686"
Koyfman Dental,1255 W. Colonial Dr.,2015-2022,"28.553209441782705, -81.39720225861757"
Fassett&comma; Anthony & Taylor&comma; P.A.,1325 W. Colonial Dr.,2015-2022,"28.55320859392853, -81.39838360094751"
Digestive and Liver Center of Florida,721 W. Colonial Dr.,2015-2022,"28.553206770002557, -81.38975716536503"
The Fierce Trap,1011 W. Colonial Dr.,2015-2022,"28.553205822409183, -81.39394808248562"
Café Xinh Xinh,1015 W. Colonial Dr.,2015-2022,"28.553203154463894, -81.39406900027689"
Logan Car Rental Inc.,1001 W. Colonial Dr.,2015-2022,"28.553198942500416, -81.39379118248563"
Smith Thompson Shaw Colon & Power&comma; P.A.,509 W. Colonial Dr.,2015-2022,"28.553197454464062, -81.38657648248562"
Medical Injury Care Provider Network,1805 W. Colonial Dr. A,2015-2022,"28.55319085178646, -81.40405833222952"
The Ivanor Law Firm,1805 W. Colonial Dr. D,2015-2022,"28.55319085178646, -81.40405833222952"
Family First Firm -  Medicaid & Elder Law Attorneys,1901 W. Colonial Dr.,2015-2022,"28.553190547501494, -81.40493110339445"
Gasdick Stanton Early&comma; PA (attorney),1601 W. Colonial Dr.,2015-2022,"28.55318569848223, -81.40207954690314"
Cybear Interactive,1501 W. Colonial Dr.,2015-2022,"28.553185454464273, -81.40090396469438"
Bulgogi House Korean Restaurant,705 W. Colonial Dr.,2015-2022,"28.553184805501044, -81.3891551911753"
Florida Municipal Lien Search,1999 W. Colonial Dr.,2015-2022,"28.553177699643427, -81.40539273222954"
Walk for Life,1851 W. Colonial Dr.,2015-2022,"28.55317242357477, -81.40444813222948"
Maxwell Gold Investigations,523 W. Colonial Dr.,2015-2022,"28.55315995446487, -81.38723148248562"
Orlando Orthodontics,1525 W. Colonial Dr.,2015-2022,"28.553138298482203, -81.40134590027687"
Suarez Law Group: Anthony Suarez,517 W. Colonial Dr.,2015-2022,"28.553137054465417, -81.38704888248564"
Three Masks INC,1023 W. Colonial Dr.,2015-2022,"28.55313003438316, -81.3944548646944"
